" - Edit"," - Edit"
"",""
"A/C Reg was saved","A/C Reg was saved"
"A/C Reg was successfully deleted.","A/C Reg was successfully deleted."
"A/C Reg was successfully saved","A/C Reg was successfully saved"
"A/C Reg","A/C Reg"
"A/C Type","A/C Type"
"Action","Action"
"Add A/C Reg","Add A/C Reg"
"Add Customer","Add Customer"
"An error occurred while updating the a/c reg.","An error occurred while updating the a/c reg."
"An error occurred while updating the customers.","An error occurred while updating the customers."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Customer","Change Customer"
"Change status","Change status"
"Code","Code"
"Could not find a/c reg to delete.","Could not find a/c reg to delete."
"Could not find customer to delete.","Could not find customer to delete."
"Created at","Created at"
"Customer was saved","Customer was saved"
"Customer was successfully deleted.","Customer was successfully deleted."
"Customer was successfully saved","Customer was successfully saved"
"Customer","Customer"
"Customers","Customers"
"Delete A/C Reg","Delete A/C Reg"
"Delete Customer","Delete Customer"
"Delete","Delete"
"Disabled","Disabled"
"Edit A/C Reg '%s'","Edit A/C Reg '%s'"
"Edit Customer '%s'","Edit Customer '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving a/c reg","Error saving a/c reg"
"Error saving customer","Error saving customer"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Note","Note"
"Number","Number"
"Please select a/c reg to delete.","Please select a/c reg to delete."
"Please select a/c reg.","Please select a/c reg."
"Please select customers to delete.","Please select customers to delete."
"Please select customers.","Please select customers."
"Position","Position"
"Reset","Reset"
"Save A/C Reg","Save A/C Reg"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Save Customer"
"Status","Status"
"Store views","Store views"
"The a/c reg has been deleted.","The a/c reg has been deleted."
"The customers has been deleted.","The customers has been deleted."
"There was a problem saving the a/c reg.","There was a problem saving the a/c reg."
"There was a problem saving the customer.","There was a problem saving the customer."
"There was an error deleting a/c reg.","There was an error deleting a/c reg."
"There was an error deleting customer.","There was an error deleting customer."
"There was an error deleting customers.","There was an error deleting customers."
"There was an error updating a/c reg.","There was an error updating a/c reg."
"There was an error updating customers.","There was an error updating customers."
"This a/c reg no longer exists.","This a/c reg no longer exists."
"This customer no longer exists.","This customer no longer exists."
"Total of %d a/c reg were successfully deleted.","Total of %d a/c reg were successfully deleted."
"Total of %d a/c reg were successfully updated.","Total of %d a/c reg were successfully updated."
"Total of %d customers were successfully deleted.","Total of %d customers were successfully deleted."
"Total of %d customers were successfully updated.","Total of %d customers were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find a/c reg to save.","Unable to find a/c reg to save."
"Unable to find customer to save.","Unable to find customer to save."
"Updated at","Updated at"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"