"",""
"Action","Action"
"Add Authority","Add Authority"
"An error occurred while updating the authorities.","An error occurred while updating the authorities."
"Approval Number","Approval Number"
"Approved Scope","Approved Scope"
"Are you sure?","Are you sure?"
"Authorities","Authorities"
"Authority was saved","Authority was saved"
"Authority was successfully deleted.","Authority was successfully deleted."
"Authority was successfully saved","Authority was successfully saved"
"Authority","Authority"
"CSV","CSV"
"Change status","Change status"
"Could not find authority to delete.","Could not find authority to delete."
"Created at","Created at"
"Delete Authority","Delete Authority"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Edit Authority '%s'","Edit Authority '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving authority","Error saving authority"
"Excel","Excel"
"Expire Date","Expire Date"
"Home","Home"
"ID","ID"
"Id","Id"
"Inspector","Inspector"
"Issue Date","Issue Date"
"No","No"
"None","None"
"Please select authorities to delete.","Please select authorities to delete."
"Please select authorities.","Please select authorities."
"Region","Region"
"Remaining","Remaining"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Authority","Save Authority"
"Section","Section"
"Source","Source"
"Station","Station"
"Status","Status"
"Store views","Store views"
"The authorities has been deleted.","The authorities has been deleted."
"There was a problem saving the authority.","There was a problem saving the authority."
"There was an error deleting authorities.","There was an error deleting authorities."
"There was an error deleting authority.","There was an error deleting authority."
"There was an error updating authorities.","There was an error updating authorities."
"This authority no longer exists.","This authority no longer exists."
"Total of %d authorities were successfully deleted.","Total of %d authorities were successfully deleted."
"Total of %d authorities were successfully updated.","Total of %d authorities were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find authority to save.","Unable to find authority to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"