"",""
"A/C","A/C"
"Accept/Reject","Accept/Reject"
"Action","Action"
"Add CAR","Add CAR"
"An error occurred while updating the cars.","An error occurred while updating the cars."
"Approved By","Approved By"
"Are you sure?","Are you sure?"
"CAR was saved","CAR was saved"
"CAR was successfully deleted.","CAR was successfully deleted."
"CAR was successfully saved","CAR was successfully saved"
"CAR","CAR"
"CARs","CARs"
"CSV","CSV"
"Change Is Submitted?","Change Is Submitted?"
"Change status","Change status"
"Close Date","Close Date"
"Could not find car to delete.","Could not find car to delete."
"Created at","Created at"
"Date of Report","Date of Report"
"Delete CAR","Delete CAR"
"Delete File","Delete File"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit CAR '%s'","Edit CAR '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving car","Error saving car"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Is Submitted?","Is Submitted?"
"No","No"
"None","None"
"Please select cars to delete.","Please select cars to delete."
"Please select cars.","Please select cars."
"Ref Doc","Ref Doc"
"Ref Id","Ref Id"
"Reference No","Reference No"
"Reject Reason","Reject Reason"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save CAR","Save CAR"
"Source","Source"
"Status","Status"
"Store views","Store views"
"Subtask","Subtask"
"Task Group","Task Group"
"Task Id","Task Id"
"The cars has been deleted.","The cars has been deleted."
"There was a problem saving the car.","There was a problem saving the car."
"There was an error deleting car.","There was an error deleting car."
"There was an error deleting cars.","There was an error deleting cars."
"There was an error updating cars.","There was an error updating cars."
"This car no longer exists.","This car no longer exists."
"Total of %d cars were successfully deleted.","Total of %d cars were successfully deleted."
"Total of %d cars were successfully updated.","Total of %d cars were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find car to save.","Unable to find car to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"