"",""
"Action","Action"
"Add Client","Add Client"
"An error occurred while updating the clients.","An error occurred while updating the clients."
"Approval Number","Approval Number"
"Approved Scope","Approved Scope"
"Are you sure?","Are you sure?"
"Authority","Authority"
"CSV","CSV"
"Change status","Change status"
"Client was saved","Client was saved"
"Client was successfully deleted.","Client was successfully deleted."
"Client was successfully saved","Client was successfully saved"
"Client","Client"
"Clients","Clients"
"Could not find client to delete.","Could not find client to delete."
"Created at","Created at"
"Customer","Customer"
"Delete Client","Delete Client"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Edit Client '%s'","Edit Client '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving client","Error saving client"
"Excel","Excel"
"Expire Date","Expire Date"
"Home","Home"
"ID","ID"
"Id","Id"
"Inspector","Inspector"
"Issue Date","Issue Date"
"No","No"
"None","None"
"Please select clients to delete.","Please select clients to delete."
"Please select clients.","Please select clients."
"Region","Region"
"Remaining","Remaining"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Client","Save Client"
"Section","Section"
"Source","Source"
"Station","Station"
"Status","Status"
"Store views","Store views"
"The clients has been deleted.","The clients has been deleted."
"There was a problem saving the client.","There was a problem saving the client."
"There was an error deleting client.","There was an error deleting client."
"There was an error deleting clients.","There was an error deleting clients."
"There was an error updating clients.","There was an error updating clients."
"This client no longer exists.","This client no longer exists."
"Total of %d clients were successfully deleted.","Total of %d clients were successfully deleted."
"Total of %d clients were successfully updated.","Total of %d clients were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find client to save.","Unable to find client to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"