"",""
"AC Reg","AC Reg"
"AC Type","AC Type"
"Action","Action"
"Add CMR","Add CMR"
"An error occurred while updating the cmr.","An error occurred while updating the cmr."
"Are you sure?","Are you sure?"
"CMR was saved","CMR was saved"
"CMR was successfully deleted.","CMR was successfully deleted."
"CMR was successfully saved","CMR was successfully saved"
"CMR","CMR"
"CSV","CSV"
"Change DRR","Change DRR"
"Change IR","Change IR"
"Change NCR","Change NCR"
"Change QR","Change QR"
"Change Repetitive","Change Repetitive"
"Change status","Change status"
"Close Date","Close Date"
"Code SQS","Code SQS"
"Corrective","Corrective"
"Could not find cmr to delete.","Could not find cmr to delete."
"Created at","Created at"
"Customer","Customer"
"DRR","DRR"
"Date of Inspection","Date of Inspection"
"Delete CMR","Delete CMR"
"Delete","Delete"
"Department","Department"
"Description","Description"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit CMR '%s'","Edit CMR '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving cmr","Error saving cmr"
"Excel","Excel"
"Home","Home"
"IR","IR"
"Id","Id"
"Inspector","Inspector"
"Location","Location"
"NCR","NCR"
"No","No"
"None","None"
"Please select cmr to delete.","Please select cmr to delete."
"Please select cmr.","Please select cmr."
"Preventive","Preventive"
"QR","QR"
"Reference No","Reference No"
"Remark","Remark"
"Repetitive","Repetitive"
"Reset","Reset"
"Root Cause Code","Root Cause Code"
"Root Cause Sub Code","Root Cause Sub Code"
"Root Cause","Root Cause"
"Save And Continue Edit","Save And Continue Edit"
"Save CMR","Save CMR"
"Status","Status"
"Store views","Store views"
"Survey Code","Survey Code"
"The cmr has been deleted.","The cmr has been deleted."
"There was a problem saving the cmr.","There was a problem saving the cmr."
"There was an error deleting cmr.","There was an error deleting cmr."
"There was an error updating cmr.","There was an error updating cmr."
"This cmr no longer exists.","This cmr no longer exists."
"Total of %d cmr were successfully deleted.","Total of %d cmr were successfully deleted."
"Total of %d cmr were successfully updated.","Total of %d cmr were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find cmr to save.","Unable to find cmr to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"