"",""
"Action","Action"
"Add CMR Report","Add CMR Report"
"An error occurred while updating the cmr reports.","An error occurred while updating the cmr reports."
"Are you sure?","Are you sure?"
"CMR Report was saved","CMR Report was saved"
"CMR Report was successfully deleted.","CMR Report was successfully deleted."
"CMR Report was successfully saved","CMR Report was successfully saved"
"CMR Report","CMR Report"
"CMR Reports","CMR Reports"
"CSV","CSV"
"Change status","Change status"
"Could not find cmr report to delete.","Could not find cmr report to delete."
"Created at","Created at"
"Delete CMR Report","Delete CMR Report"
"Delete","Delete"
"Disabled","Disabled"
"Edit CMR Report '%s'","Edit CMR Report '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving cmr report","Error saving cmr report"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select cmr reports to delete.","Please select cmr reports to delete."
"Please select cmr reports.","Please select cmr reports."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save CMR Report","Save CMR Report"
"Status","Status"
"Store views","Store views"
"The cmr reports has been deleted.","The cmr reports has been deleted."
"There was a problem saving the cmr report.","There was a problem saving the cmr report."
"There was an error deleting cmr report.","There was an error deleting cmr report."
"There was an error deleting cmr reports.","There was an error deleting cmr reports."
"There was an error updating cmr reports.","There was an error updating cmr reports."
"This cmr report no longer exists.","This cmr report no longer exists."
"Total of %d cmr reports were successfully deleted.","Total of %d cmr reports were successfully deleted."
"Total of %d cmr reports were successfully updated.","Total of %d cmr reports were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find cmr report to save.","Unable to find cmr report to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"