"",""
"Action","Action"
"Add Corrective Action","Add Corrective Action"
"An error occurred while updating the corrective actions.","An error occurred while updating the corrective actions."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Close Date","Close Date"
"Corrective Action was saved","Corrective Action was saved"
"Corrective Action was successfully deleted.","Corrective Action was successfully deleted."
"Corrective Action was successfully saved","Corrective Action was successfully saved"
"Corrective Action","Corrective Action"
"Corrective Actions","Corrective Actions"
"Could not find corrective action to delete.","Could not find corrective action to delete."
"Created at","Created at"
"Delete Corrective Action","Delete Corrective Action"
"Delete File","Delete File"
"Delete","Delete"
"Dept","Dept"
"Description","Description"
"Disabled","Disabled"
"Edit Corrective Action '%s'","Edit Corrective Action '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving corrective action","Error saving corrective action"
"Excel","Excel"
"Expire Date","Expire Date"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Issue Date","Issue Date"
"No","No"
"None","None"
"Please select corrective actions to delete.","Please select corrective actions to delete."
"Please select corrective actions.","Please select corrective actions."
"Ref ID","Ref ID"
"Ref No","Ref No"
"Ref Type","Ref Type"
"Region","Region"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Corrective Action","Save Corrective Action"
"Section","Section"
"Source","Source"
"Status","Status"
"Store views","Store views"
"The corrective actions has been deleted.","The corrective actions has been deleted."
"There was a problem saving the corrective action.","There was a problem saving the corrective action."
"There was an error deleting corrective action.","There was an error deleting corrective action."
"There was an error deleting corrective actions.","There was an error deleting corrective actions."
"There was an error updating corrective actions.","There was an error updating corrective actions."
"This corrective action no longer exists.","This corrective action no longer exists."
"Total of %d corrective actions were successfully deleted.","Total of %d corrective actions were successfully deleted."
"Total of %d corrective actions were successfully updated.","Total of %d corrective actions were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find corrective action to save.","Unable to find corrective action to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"