"",""
"AC Reg","AC Reg"
"AC Type","AC Type"
"Action","Action"
"Add Concession","Add Concession"
"An error occurred while updating the concession.","An error occurred while updating the concession."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Cause","Cause"
"Change IR","Change IR"
"Change NCR","Change NCR"
"Change QR","Change QR"
"Change status","Change status"
"Concession Number","Concession Number"
"Concession was saved","Concession was saved"
"Concession was successfully deleted.","Concession was successfully deleted."
"Concession was successfully saved","Concession was successfully saved"
"Concession","Concession"
"Could not find concession to delete.","Could not find concession to delete."
"Created at","Created at"
"Customer","Customer"
"Date of order","Date of order"
"Date","Date"
"Delete Concession","Delete Concession"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Downtime Type","Downtime Type"
"Edit Concession '%s'","Edit Concession '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving concession","Error saving concession"
"Excel","Excel"
"Home","Home"
"IR","IR"
"Id","Id"
"NCR","NCR"
"No","No"
"None","None"
"Please select concession to delete.","Please select concession to delete."
"Please select concession.","Please select concession."
"QR","QR"
"Reason","Reason"
"Remark","Remark"
"Requester","Requester"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Concession","Save Concession"
"Source of reason","Source of reason"
"Source","Source"
"Spare Type","Spare Type"
"Status","Status"
"Store views","Store views"
"The concession has been deleted.","The concession has been deleted."
"There was a problem saving the concession.","There was a problem saving the concession."
"There was an error deleting concession.","There was an error deleting concession."
"There was an error updating concession.","There was an error updating concession."
"This concession no longer exists.","This concession no longer exists."
"Total of %d concession were successfully deleted.","Total of %d concession were successfully deleted."
"Total of %d concession were successfully updated.","Total of %d concession were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Troubleshooting Type","Troubleshooting Type"
"Unable to find concession to save.","Unable to find concession to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"