"",""
"Action","Action"
"Add HIRA","Add HIRA"
"An error occurred while updating the hiras.","An error occurred while updating the hiras."
"Approved By","Approved By"
"Are you sure?","Are you sure?"
"Associated risk of hazzard","Associated risk of hazzard"
"CSV","CSV"
"Change status","Change status"
"Close Date","Close Date"
"Could not find hira to delete.","Could not find hira to delete."
"Created at","Created at"
"Date of Report","Date of Report"
"Delete HIRA","Delete HIRA"
"Delete","Delete"
"Dept","Dept"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit HIRA '%s'","Edit HIRA '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving hira","Error saving hira"
"Excel","Excel"
"Follow up","Follow up"
"Generic Hazzard","Generic Hazzard"
"HIRA Code","HIRA Code"
"HIRA was saved","HIRA was saved"
"HIRA was successfully deleted.","HIRA was successfully deleted."
"HIRA was successfully saved","HIRA was successfully saved"
"HIRA","HIRA"
"HIRAs","HIRAs"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Location","Location"
"Mitigation","Mitigation"
"No","No"
"None","None"
"Please select hiras to delete.","Please select hiras to delete."
"Please select hiras.","Please select hiras."
"Probability after mitigation","Probability after mitigation"
"Probability of occurrent","Probability of occurrent"
"Ref Id","Ref Id"
"Reference No","Reference No"
"Region","Region"
"Reject Reason","Reject Reason"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save HIRA","Save HIRA"
"Section","Section"
"Severity after mitigation","Severity after mitigation"
"Severity of occurrent","Severity of occurrent"
"Specify component of hazzard","Specify component of hazzard"
"Status","Status"
"Store views","Store views"
"Subtask","Subtask"
"Task Group","Task Group"
"Task Id","Task Id"
"The hiras has been deleted.","The hiras has been deleted."
"There was a problem saving the hira.","There was a problem saving the hira."
"There was an error deleting hira.","There was an error deleting hira."
"There was an error deleting hiras.","There was an error deleting hiras."
"There was an error updating hiras.","There was an error updating hiras."
"This hira no longer exists.","This hira no longer exists."
"Total of %d hiras were successfully deleted.","Total of %d hiras were successfully deleted."
"Total of %d hiras were successfully updated.","Total of %d hiras were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find hira to save.","Unable to find hira to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"