"",""
"Action","Action"
"Add Export","Add Export"
"Add Import","Add Import"
"An error occurred while updating the exports.","An error occurred while updating the exports."
"An error occurred while updating the imports.","An error occurred while updating the imports."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find export to delete.","Could not find export to delete."
"Could not find import to delete.","Could not find import to delete."
"Created at","Created at"
"Delete Export","Delete Export"
"Delete File","Delete File"
"Delete Import","Delete Import"
"Delete","Delete"
"Disabled","Disabled"
"Edit Export '%s'","Edit Export '%s'"
"Edit Import '%s'","Edit Import '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving export","Error saving export"
"Error saving import","Error saving import"
"Excel","Excel"
"Export Date","Export Date"
"Export was saved","Export was saved"
"Export was successfully deleted.","Export was successfully deleted."
"Export was successfully saved","Export was successfully saved"
"Export","Export"
"Exports","Exports"
"Home","Home"
"Id","Id"
"Import Date","Import Date"
"Import was saved","Import was saved"
"Import was successfully deleted.","Import was successfully deleted."
"Import was successfully saved","Import was successfully saved"
"Import","Import"
"Imports","Imports"
"No","No"
"None","None"
"Please select exports to delete.","Please select exports to delete."
"Please select exports.","Please select exports."
"Please select imports to delete.","Please select imports to delete."
"Please select imports.","Please select imports."
"Ref No","Ref No"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Export","Save Export"
"Save Import","Save Import"
"Source","Source"
"Status","Status"
"Store views","Store views"
"The exports has been deleted.","The exports has been deleted."
"The imports has been deleted.","The imports has been deleted."
"There was a problem saving the export.","There was a problem saving the export."
"There was a problem saving the import.","There was a problem saving the import."
"There was an error deleting export.","There was an error deleting export."
"There was an error deleting exports.","There was an error deleting exports."
"There was an error deleting import.","There was an error deleting import."
"There was an error deleting imports.","There was an error deleting imports."
"There was an error updating exports.","There was an error updating exports."
"There was an error updating imports.","There was an error updating imports."
"This export no longer exists.","This export no longer exists."
"This import no longer exists.","This import no longer exists."
"Total of %d exports were successfully deleted.","Total of %d exports were successfully deleted."
"Total of %d exports were successfully updated.","Total of %d exports were successfully updated."
"Total of %d imports were successfully deleted.","Total of %d imports were successfully deleted."
"Total of %d imports were successfully updated.","Total of %d imports were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find export to save.","Unable to find export to save."
"Unable to find import to save.","Unable to find import to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"