"",""
"A/C Reg","A/C Reg"
"Action","Action"
"Add Investigation","Add Investigation"
"An error occurred while updating the investigations.","An error occurred while updating the investigations."
"Are you sure?","Are you sure?"
"CAR","CAR"
"CSV","CSV"
"Change CAR","Change CAR"
"Change NCR","Change NCR"
"Change QR/QN","Change QR/QN"
"Change status","Change status"
"Could not find investigation to delete.","Could not find investigation to delete."
"Created at","Created at"
"Date of Inspection","Date of Inspection"
"Delete Investigation","Delete Investigation"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Investigation '%s'","Edit Investigation '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving investigation","Error saving investigation"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Investigation was saved","Investigation was saved"
"Investigation was successfully deleted.","Investigation was successfully deleted."
"Investigation was successfully saved","Investigation was successfully saved"
"Investigation","Investigation"
"Investigations","Investigations"
"Location","Location"
"Maintenance Center","Maintenance Center"
"NCR","NCR"
"No","No"
"None","None"
"Please select investigations to delete.","Please select investigations to delete."
"Please select investigations.","Please select investigations."
"QR/QN","QR/QN"
"Reference No","Reference No"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Investigation","Save Investigation"
"Status","Status"
"Store views","Store views"
"Task ID","Task ID"
"The investigations has been deleted.","The investigations has been deleted."
"There was a problem saving the investigation.","There was a problem saving the investigation."
"There was an error deleting investigation.","There was an error deleting investigation."
"There was an error deleting investigations.","There was an error deleting investigations."
"There was an error updating investigations.","There was an error updating investigations."
"This investigation no longer exists.","This investigation no longer exists."
"Total of %d investigations were successfully deleted.","Total of %d investigations were successfully deleted."
"Total of %d investigations were successfully updated.","Total of %d investigations were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find investigation to save.","Unable to find investigation to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Workpack","Workpack"
"XML","XML"
"Yes","Yes"