"",""
"A/C Type","A/C Type"
"Action","Action"
"Actual Workflow Period","Actual Workflow Period"
"Add KPI Data","Add KPI Data"
"An error occurred while updating the kpi data.","An error occurred while updating the kpi data."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find kpi data to delete.","Could not find kpi data to delete."
"Created at","Created at"
"Customer Complaint","Customer Complaint"
"Delete KPI Data","Delete KPI Data"
"Delete","Delete"
"Department","Department"
"Disabled","Disabled"
"Edit KPI Data '%s'","Edit KPI Data '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving kpi data","Error saving kpi data"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Interrelationship Complaint","Interrelationship Complaint"
"KPI Data was saved","KPI Data was saved"
"KPI Data was successfully deleted.","KPI Data was successfully deleted."
"KPI Data was successfully saved","KPI Data was successfully saved"
"KPI Data","KPI Data"
"Man Hours","Man Hours"
"Mass Production","Mass Production"
"No","No"
"None","None"
"Please select kpi data to delete.","Please select kpi data to delete."
"Please select kpi data.","Please select kpi data."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save KPI Data","Save KPI Data"
"Schedule Workflow Period","Schedule Workflow Period"
"Self-decteced NCR","Self-decteced NCR"
"Status","Status"
"Store views","Store views"
"The kpi data has been deleted.","The kpi data has been deleted."
"There was a problem saving the kpi data.","There was a problem saving the kpi data."
"There was an error deleting kpi data.","There was an error deleting kpi data."
"There was an error updating kpi data.","There was an error updating kpi data."
"This kpi data no longer exists.","This kpi data no longer exists."
"Total of %d kpi data were successfully deleted.","Total of %d kpi data were successfully deleted."
"Total of %d kpi data were successfully updated.","Total of %d kpi data were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find kpi data to save.","Unable to find kpi data to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"