"",""
"Action","Action"
"Add Logger","Add Logger"
"An error occurred while updating the loggers.","An error occurred while updating the loggers."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find logger to delete.","Could not find logger to delete."
"Created at","Created at"
"Data","Data"
"Delete Logger","Delete Logger"
"Delete","Delete"
"Disabled","Disabled"
"Edit Logger '%s'","Edit Logger '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving logger","Error saving logger"
"Excel","Excel"
"Home","Home"
"IP Address","IP Address"
"Id","Id"
"Logger was saved","Logger was saved"
"Logger was successfully deleted.","Logger was successfully deleted."
"Logger was successfully saved","Logger was successfully saved"
"Logger","Logger"
"Loggers","Loggers"
"Message","Message"
"No","No"
"None","None"
"Please select loggers to delete.","Please select loggers to delete."
"Please select loggers.","Please select loggers."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Logger","Save Logger"
"Status","Status"
"Store views","Store views"
"The loggers has been deleted.","The loggers has been deleted."
"There was a problem saving the logger.","There was a problem saving the logger."
"There was an error deleting logger.","There was an error deleting logger."
"There was an error deleting loggers.","There was an error deleting loggers."
"There was an error updating loggers.","There was an error updating loggers."
"This logger no longer exists.","This logger no longer exists."
"Total of %d loggers were successfully deleted.","Total of %d loggers were successfully deleted."
"Total of %d loggers were successfully updated.","Total of %d loggers were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find logger to save.","Unable to find logger to save."
"Updated at","Updated at"
"User","User"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"