"",""
"A/C Reg","A/C Reg"
"A/C Type","A/C Type"
"Action","Action"
"Add MEDA","Add MEDA"
"An error occurred while updating the medas.","An error occurred while updating the medas."
"Approved By","Approved By"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Close Date","Close Date"
"Consequence","Consequence"
"Corrective/Preventive action","Corrective/Preventive action"
"Could not find meda to delete.","Could not find meda to delete."
"Created at","Created at"
"Customer","Customer"
"Date of Report","Date of Report"
"Delete MEDA","Delete MEDA"
"Delete","Delete"
"Dept","Dept"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit MEDA '%s'","Edit MEDA '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error Description","Error Description"
"Error saving meda","Error saving meda"
"Event Date","Event Date"
"Excel","Excel"
"Feedback to reporter","Feedback to reporter"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Location","Location"
"MEDA was saved","MEDA was saved"
"MEDA was successfully deleted.","MEDA was successfully deleted."
"MEDA was successfully saved","MEDA was successfully saved"
"MEDA","MEDA"
"MEDAs","MEDAs"
"No","No"
"None","None"
"Place","Place"
"Please select medas to delete.","Please select medas to delete."
"Please select medas.","Please select medas."
"Ref Id","Ref Id"
"Reference No","Reference No"
"Region","Region"
"Reject Reason","Reject Reason"
"Remark Text","Remark Text"
"Report No","Report No"
"Reset","Reset"
"Revoke/ Suspence Office letter","Revoke/ Suspence Office letter"
"Root Cause","Root Cause"
"Save And Continue Edit","Save And Continue Edit"
"Save MEDA","Save MEDA"
"Section","Section"
"Status","Status"
"Store views","Store views"
"Subtask","Subtask"
"Task Group","Task Group"
"Task Id","Task Id"
"The medas has been deleted.","The medas has been deleted."
"There was a problem saving the meda.","There was a problem saving the meda."
"There was an error deleting meda.","There was an error deleting meda."
"There was an error deleting medas.","There was an error deleting medas."
"There was an error updating medas.","There was an error updating medas."
"This meda no longer exists.","This meda no longer exists."
"Total of %d medas were successfully deleted.","Total of %d medas were successfully deleted."
"Total of %d medas were successfully updated.","Total of %d medas were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find meda to save.","Unable to find meda to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"