"",""
"A/C Reg","A/C Reg"
"A/C Type","A/C Type"
"ATA","ATA"
"Action Take","Action Take"
"Action","Action"
"Add MOR","Add MOR"
"An error occurred while updating the mors.","An error occurred while updating the mors."
"Approved By","Approved By"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Cause of event","Cause of event"
"Change Report to Manufacturer","Change Report to Manufacturer"
"Change status","Change status"
"Close Date","Close Date"
"Could not find mor to delete.","Could not find mor to delete."
"Created at","Created at"
"Customer","Customer"
"Date of Report","Date of Report"
"Delete MOR","Delete MOR"
"Delete","Delete"
"Dept","Dept"
"Description","Description"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit MOR '%s'","Edit MOR '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving mor","Error saving mor"
"Excel","Excel"
"Filter","Filter"
"Flight No","Flight No"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Location","Location"
"MOR No","MOR No"
"MOR was saved","MOR was saved"
"MOR was successfully deleted.","MOR was successfully deleted."
"MOR was successfully saved","MOR was successfully saved"
"MOR","MOR"
"MORs","MORs"
"No","No"
"None","None"
"Occur Date","Occur Date"
"Place","Place"
"Please select mors to delete.","Please select mors to delete."
"Please select mors.","Please select mors."
"Ref Id","Ref Id"
"Reference No","Reference No"
"Region","Region"
"Reject Reason","Reject Reason"
"Report to Manufacturer","Report to Manufacturer"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save MOR","Save MOR"
"Section","Section"
"Status","Status"
"Store views","Store views"
"Subtask","Subtask"
"Task Group","Task Group"
"Task Id","Task Id"
"The mors has been deleted.","The mors has been deleted."
"There was a problem saving the mor.","There was a problem saving the mor."
"There was an error deleting mor.","There was an error deleting mor."
"There was an error deleting mors.","There was an error deleting mors."
"There was an error updating mors.","There was an error updating mors."
"This mor no longer exists.","This mor no longer exists."
"Total of %d mors were successfully deleted.","Total of %d mors were successfully deleted."
"Total of %d mors were successfully updated.","Total of %d mors were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find mor to save.","Unable to find mor to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"