"",""
"A/C","A/C"
"Accept/Reject","Accept/Reject"
"Action","Action"
"Add NCR","Add NCR"
"An error occurred while updating the ncr.","An error occurred while updating the ncr."
"Approved By","Approved By"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Close Date","Close Date"
"Could not find ncr to delete.","Could not find ncr to delete."
"Created at","Created at"
"Date of Report","Date of Report"
"Delete File","Delete File"
"Delete NCR","Delete NCR"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit NCR '%s'","Edit NCR '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving ncr","Error saving ncr"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"NCR was saved","NCR was saved"
"NCR was successfully deleted.","NCR was successfully deleted."
"NCR was successfully saved","NCR was successfully saved"
"NCR","NCR"
"No","No"
"None","None"
"Please select ncr to delete.","Please select ncr to delete."
"Please select ncr.","Please select ncr."
"REF Doc","REF Doc"
"Reference Id","Reference Id"
"Reference No","Reference No"
"Reject Reason","Reject Reason"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save NCR","Save NCR"
"Source","Source"
"Status","Status"
"Store views","Store views"
"Task Group","Task Group"
"The ncr has been deleted.","The ncr has been deleted."
"There was a problem saving the ncr.","There was a problem saving the ncr."
"There was an error deleting ncr.","There was an error deleting ncr."
"There was an error updating ncr.","There was an error updating ncr."
"This ncr no longer exists.","This ncr no longer exists."
"Total of %d ncr were successfully deleted.","Total of %d ncr were successfully deleted."
"Total of %d ncr were successfully updated.","Total of %d ncr were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find ncr to save.","Unable to find ncr to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"