" - Edit"," - Edit"
"",""
"Action","Action"
"Add NC Cause Group","Add NC Cause Group"
"Add NC Cause","Add NC Cause"
"An error occurred while updating the nc cause groups.","An error occurred while updating the nc cause groups."
"An error occurred while updating the nc causes.","An error occurred while updating the nc causes."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Cause Code","Cause Code"
"Cause Name","Cause Name"
"Change NC Cause Group","Change NC Cause Group"
"Change status","Change status"
"Could not find nc cause group to delete.","Could not find nc cause group to delete."
"Could not find nc cause to delete.","Could not find nc cause to delete."
"Created at","Created at"
"Delete NC Cause Group","Delete NC Cause Group"
"Delete NC Cause","Delete NC Cause"
"Delete","Delete"
"Disabled","Disabled"
"Edit NC Cause '%s'","Edit NC Cause '%s'"
"Edit NC Cause Group '%s'","Edit NC Cause Group '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving nc cause group","Error saving nc cause group"
"Error saving nc cause","Error saving nc cause"
"Excel","Excel"
"Group Code","Group Code"
"Home","Home"
"Id","Id"
"NC Cause Group was saved","NC Cause Group was saved"
"NC Cause Group was successfully deleted.","NC Cause Group was successfully deleted."
"NC Cause Group was successfully saved","NC Cause Group was successfully saved"
"NC Cause Group","NC Cause Group"
"NC Cause Groups","NC Cause Groups"
"NC Cause was saved","NC Cause was saved"
"NC Cause was successfully deleted.","NC Cause was successfully deleted."
"NC Cause was successfully saved","NC Cause was successfully saved"
"NC Cause","NC Cause"
"NC Causes","NC Causes"
"Name","Name"
"No","No"
"None","None"
"Please select nc cause groups to delete.","Please select nc cause groups to delete."
"Please select nc cause groups.","Please select nc cause groups."
"Please select nc causes to delete.","Please select nc causes to delete."
"Please select nc causes.","Please select nc causes."
"Position","Position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save NC Cause Group","Save NC Cause Group"
"Save NC Cause","Save NC Cause"
"Status","Status"
"Store views","Store views"
"The nc cause groups has been deleted.","The nc cause groups has been deleted."
"The nc causes has been deleted.","The nc causes has been deleted."
"There was a problem saving the nc cause group.","There was a problem saving the nc cause group."
"There was a problem saving the nc cause.","There was a problem saving the nc cause."
"There was an error deleting nc cause group.","There was an error deleting nc cause group."
"There was an error deleting nc cause groups.","There was an error deleting nc cause groups."
"There was an error deleting nc cause.","There was an error deleting nc cause."
"There was an error deleting nc causes.","There was an error deleting nc causes."
"There was an error updating nc cause groups.","There was an error updating nc cause groups."
"There was an error updating nc causes.","There was an error updating nc causes."
"This nc cause group no longer exists.","This nc cause group no longer exists."
"This nc cause no longer exists.","This nc cause no longer exists."
"Total of %d nc cause groups were successfully deleted.","Total of %d nc cause groups were successfully deleted."
"Total of %d nc cause groups were successfully updated.","Total of %d nc cause groups were successfully updated."
"Total of %d nc causes were successfully deleted.","Total of %d nc causes were successfully deleted."
"Total of %d nc causes were successfully updated.","Total of %d nc causes were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find nc cause group to save.","Unable to find nc cause group to save."
"Unable to find nc cause to save.","Unable to find nc cause to save."
"Updated at","Updated at"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"