"",""
"Action","Action"
"Add QC HAN Work Non-Routine","Add QC HAN Work Non-Routine"
"An error occurred while updating the qc han work non-routines.","An error occurred while updating the qc han work non-routines."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find qc han work non-routine to delete.","Could not find qc han work non-routine to delete."
"Created at","Created at"
"Delete QC HAN Work Non-Routine","Delete QC HAN Work Non-Routine"
"Delete","Delete"
"Disabled","Disabled"
"Edit QC HAN Work Non-Routine '%s'","Edit QC HAN Work Non-Routine '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving qc han work non-routine","Error saving qc han work non-routine"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select qc han work non-routines to delete.","Please select qc han work non-routines to delete."
"Please select qc han work non-routines.","Please select qc han work non-routines."
"QC HAN Work Non-Routine was saved","QC HAN Work Non-Routine was saved"
"QC HAN Work Non-Routine was successfully deleted.","QC HAN Work Non-Routine was successfully deleted."
"QC HAN Work Non-Routine was successfully saved","QC HAN Work Non-Routine was successfully saved"
"QC HAN Work Non-Routine","QC HAN Work Non-Routine"
"QC HAN Work Non-Routines","QC HAN Work Non-Routines"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save QC HAN Work Non-Routine","Save QC HAN Work Non-Routine"
"Status","Status"
"Store views","Store views"
"The qc han work non-routines has been deleted.","The qc han work non-routines has been deleted."
"There was a problem saving the qc han work non-routine.","There was a problem saving the qc han work non-routine."
"There was an error deleting qc han work non-routine.","There was an error deleting qc han work non-routine."
"There was an error deleting qc han work non-routines.","There was an error deleting qc han work non-routines."
"There was an error updating qc han work non-routines.","There was an error updating qc han work non-routines."
"This qc han work non-routine no longer exists.","This qc han work non-routine no longer exists."
"Total of %d qc han work non-routines were successfully deleted.","Total of %d qc han work non-routines were successfully deleted."
"Total of %d qc han work non-routines were successfully updated.","Total of %d qc han work non-routines were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find qc han work non-routine to save.","Unable to find qc han work non-routine to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"