"",""
"Action","Action"
"Add Non-routine Work","Add Non-routine Work"
"An error occurred while updating the non-routine works.","An error occurred while updating the non-routine works."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Close Date","Close Date"
"Could not find non-routine work to delete.","Could not find non-routine work to delete."
"Created at","Created at"
"Delete File","Delete File"
"Delete Non-routine Work","Delete Non-routine Work"
"Delete","Delete"
"Dept","Dept"
"Description","Description"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit Non-routine Work '%s'","Edit Non-routine Work '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving non-routine work","Error saving non-routine work"
"Excel","Excel"
"Follow up","Follow up"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Issue Date","Issue Date"
"Manager","Manager"
"No","No"
"Non-routine Work was saved","Non-routine Work was saved"
"Non-routine Work was successfully deleted.","Non-routine Work was successfully deleted."
"Non-routine Work was successfully saved","Non-routine Work was successfully saved"
"Non-routine Work","Non-routine Work"
"Non-routine Works","Non-routine Works"
"None","None"
"Please select non-routine works to delete.","Please select non-routine works to delete."
"Please select non-routine works.","Please select non-routine works."
"Reference No","Reference No"
"Region","Region"
"Reject Reason","Reject Reason"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Non-routine Work","Save Non-routine Work"
"Section","Section"
"Source","Source"
"Status","Status"
"Store views","Store views"
"The non-routine works has been deleted.","The non-routine works has been deleted."
"There was a problem saving the non-routine work.","There was a problem saving the non-routine work."
"There was an error deleting non-routine work.","There was an error deleting non-routine work."
"There was an error deleting non-routine works.","There was an error deleting non-routine works."
"There was an error updating non-routine works.","There was an error updating non-routine works."
"This non-routine work no longer exists.","This non-routine work no longer exists."
"Total of %d non-routine works were successfully deleted.","Total of %d non-routine works were successfully deleted."
"Total of %d non-routine works were successfully updated.","Total of %d non-routine works were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find non-routine work to save.","Unable to find non-routine work to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"