"",""
"A/C Reg","A/C Reg"
"A/C Type","A/C Type"
"Action","Action"
"Add Other Task","Add Other Task"
"An error occurred while updating the other tasks.","An error occurred while updating the other tasks."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find other task to delete.","Could not find other task to delete."
"Created at","Created at"
"Customer","Customer"
"Date of Repot","Date of Repot"
"Delete Other Task","Delete Other Task"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Other Task '%s'","Edit Other Task '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving other task","Error saving other task"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Location","Location"
"No","No"
"None","None"
"Other Task was saved","Other Task was saved"
"Other Task was successfully deleted.","Other Task was successfully deleted."
"Other Task was successfully saved","Other Task was successfully saved"
"Other Task","Other Task"
"Other Tasks","Other Tasks"
"Please select other tasks to delete.","Please select other tasks to delete."
"Please select other tasks.","Please select other tasks."
"Reference No","Reference No"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Other Task","Save Other Task"
"Status","Status"
"Store views","Store views"
"The other tasks has been deleted.","The other tasks has been deleted."
"There was a problem saving the other task.","There was a problem saving the other task."
"There was an error deleting other task.","There was an error deleting other task."
"There was an error deleting other tasks.","There was an error deleting other tasks."
"There was an error updating other tasks.","There was an error updating other tasks."
"This other task no longer exists.","This other task no longer exists."
"Total of %d other tasks were successfully deleted.","Total of %d other tasks were successfully deleted."
"Total of %d other tasks were successfully updated.","Total of %d other tasks were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find other task to save.","Unable to find other task to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"