"",""
"A/C","A/C"
"Accept/Reject","Accept/Reject"
"Action","Action"
"Add QR/QN","Add QR/QN"
"An error occurred while updating the qr/qn.","An error occurred while updating the qr/qn."
"Approved By","Approved By"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Is Submitted?","Change Is Submitted?"
"Change status","Change status"
"Close Date","Close Date"
"Could not find qr/qn to delete.","Could not find qr/qn to delete."
"Created at","Created at"
"Date of Report","Date of Report"
"Delete File","Delete File"
"Delete QR/QN","Delete QR/QN"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit QR/QN '%s'","Edit QR/QN '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving qr/qn","Error saving qr/qn"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Is Submitted?","Is Submitted?"
"No","No"
"None","None"
"Please select qr/qn to delete.","Please select qr/qn to delete."
"Please select qr/qn.","Please select qr/qn."
"QR/QN was saved","QR/QN was saved"
"QR/QN was successfully deleted.","QR/QN was successfully deleted."
"QR/QN was successfully saved","QR/QN was successfully saved"
"QR/QN","QR/QN"
"Ref Doc","Ref Doc"
"Ref Id","Ref Id"
"Reference No","Reference No"
"Reject Reason","Reject Reason"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save QR/QN","Save QR/QN"
"Source","Source"
"Status","Status"
"Store views","Store views"
"Subtask","Subtask"
"Task Group","Task Group"
"Task Id","Task Id"
"The qr/qn has been deleted.","The qr/qn has been deleted."
"There was a problem saving the qr/qn.","There was a problem saving the qr/qn."
"There was an error deleting qr/qn.","There was an error deleting qr/qn."
"There was an error updating qr/qn.","There was an error updating qr/qn."
"This qr/qn no longer exists.","This qr/qn no longer exists."
"Total of %d qr/qn were successfully deleted.","Total of %d qr/qn were successfully deleted."
"Total of %d qr/qn were successfully updated.","Total of %d qr/qn were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Type","Type"
"Unable to find qr/qn to save.","Unable to find qr/qn to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"