"",""
"Action","Action"
"Add QC HAN Efficiency","Add QC HAN Efficiency"
"An error occurred while updating the qc han efficiency.","An error occurred while updating the qc han efficiency."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find qc han efficiency to delete.","Could not find qc han efficiency to delete."
"Created at","Created at"
"D","D"
"D1","D1"
"D2","D2"
"D3","D3"
"DRR","DRR"
"Delete QC HAN Efficiency","Delete QC HAN Efficiency"
"Delete","Delete"
"Disabled","Disabled"
"Edit QC HAN Efficiency '%s'","Edit QC HAN Efficiency '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving qc han efficiency","Error saving qc han efficiency"
"Excel","Excel"
"From Date","From Date"
"Home","Home"
"Id","Id"
"Inspector Id","Inspector Id"
"Investigation","Investigation"
"Level","Level"
"NCR","NCR"
"Name","Name"
"No","No"
"None","None"
"Note","Note"
"Please select qc han efficiency to delete.","Please select qc han efficiency to delete."
"Please select qc han efficiency.","Please select qc han efficiency."
"QC HAN Efficiency was saved","QC HAN Efficiency was saved"
"QC HAN Efficiency was successfully deleted.","QC HAN Efficiency was successfully deleted."
"QC HAN Efficiency was successfully saved","QC HAN Efficiency was successfully saved"
"QC HAN Efficiency","QC HAN Efficiency"
"QC Work","QC Work"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save QC HAN Efficiency","Save QC HAN Efficiency"
"Status","Status"
"Store views","Store views"
"The qc han efficiency has been deleted.","The qc han efficiency has been deleted."
"There was a problem saving the qc han efficiency.","There was a problem saving the qc han efficiency."
"There was an error deleting qc han efficiency.","There was an error deleting qc han efficiency."
"There was an error updating qc han efficiency.","There was an error updating qc han efficiency."
"This qc han efficiency no longer exists.","This qc han efficiency no longer exists."
"To Date","To Date"
"Total of %d qc han efficiency were successfully deleted.","Total of %d qc han efficiency were successfully deleted."
"Total of %d qc han efficiency were successfully updated.","Total of %d qc han efficiency were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find qc han efficiency to save.","Unable to find qc han efficiency to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"