"",""
"A/C Reg","A/C Reg"
"Action","Action"
"Add RII Sign-off","Add RII Sign-off"
"An error occurred while updating the rii sign-offs.","An error occurred while updating the rii sign-offs."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Investigation","Change Investigation"
"Change NCR","Change NCR"
"Change QR/QN","Change QR/QN"
"Change status","Change status"
"Could not find rii sign-off to delete.","Could not find rii sign-off to delete."
"Created at","Created at"
"Customer","Customer"
"Date of Inspection","Date of Inspection"
"Delete RII Sign-off","Delete RII Sign-off"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit RII Sign-off '%s'","Edit RII Sign-off '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving rii sign-off","Error saving rii sign-off"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Investigation","Investigation"
"Location","Location"
"Maintenance Center","Maintenance Center"
"NCR","NCR"
"No","No"
"None","None"
"Please select rii sign-offs to delete.","Please select rii sign-offs to delete."
"Please select rii sign-offs.","Please select rii sign-offs."
"QR/QN","QR/QN"
"RII Sign-off was saved","RII Sign-off was saved"
"RII Sign-off was successfully deleted.","RII Sign-off was successfully deleted."
"RII Sign-off was successfully saved","RII Sign-off was successfully saved"
"RII Sign-off","RII Sign-off"
"RII Sign-offs","RII Sign-offs"
"Reference No","Reference No"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save RII Sign-off","Save RII Sign-off"
"Status","Status"
"Store views","Store views"
"Task ID","Task ID"
"The rii sign-offs has been deleted.","The rii sign-offs has been deleted."
"There was a problem saving the rii sign-off.","There was a problem saving the rii sign-off."
"There was an error deleting rii sign-off.","There was an error deleting rii sign-off."
"There was an error deleting rii sign-offs.","There was an error deleting rii sign-offs."
"There was an error updating rii sign-offs.","There was an error updating rii sign-offs."
"This rii sign-off no longer exists.","This rii sign-off no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d rii sign-offs were successfully deleted.","Total of %d rii sign-offs were successfully deleted."
"Total of %d rii sign-offs were successfully updated.","Total of %d rii sign-offs were successfully updated."
"Unable to find rii sign-off to save.","Unable to find rii sign-off to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Workpack","Workpack"
"XML","XML"
"Yes","Yes"