"",""
"Action","Action"
"Add Routine Report","Add Routine Report"
"An error occurred while updating the routine reports.","An error occurred while updating the routine reports."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find routine report to delete.","Could not find routine report to delete."
"Created at","Created at"
"Delete Routine Report","Delete Routine Report"
"Delete","Delete"
"Disabled","Disabled"
"Edit Routine Report '%s'","Edit Routine Report '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving routine report","Error saving routine report"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select routine reports to delete.","Please select routine reports to delete."
"Please select routine reports.","Please select routine reports."
"Reset","Reset"
"Routine Report was saved","Routine Report was saved"
"Routine Report was successfully deleted.","Routine Report was successfully deleted."
"Routine Report was successfully saved","Routine Report was successfully saved"
"Routine Report","Routine Report"
"Routine Reports","Routine Reports"
"Save And Continue Edit","Save And Continue Edit"
"Save Routine Report","Save Routine Report"
"Status","Status"
"Store views","Store views"
"The routine reports has been deleted.","The routine reports has been deleted."
"There was a problem saving the routine report.","There was a problem saving the routine report."
"There was an error deleting routine report.","There was an error deleting routine report."
"There was an error deleting routine reports.","There was an error deleting routine reports."
"There was an error updating routine reports.","There was an error updating routine reports."
"This routine report no longer exists.","This routine report no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d routine reports were successfully deleted.","Total of %d routine reports were successfully deleted."
"Total of %d routine reports were successfully updated.","Total of %d routine reports were successfully updated."
"Unable to find routine report to save.","Unable to find routine report to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"