"",""
"A/C Reg","A/C Reg"
"A/C Type","A/C Type"
"Action","Action"
"Add Safety Data","Add Safety Data"
"An error occurred while updating the safety data.","An error occurred while updating the safety data."
"Approved By","Approved By"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Close Date","Close Date"
"Could not find safety data to delete.","Could not find safety data to delete."
"Created at","Created at"
"Customer","Customer"
"Date of Report","Date of Report"
"Delete Safety Data","Delete Safety Data"
"Delete","Delete"
"Dept","Dept"
"Description","Description"
"Disabled","Disabled"
"Due Date","Due Date"
"Edit Safety Data '%s'","Edit Safety Data '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving safety data","Error saving safety data"
"Excel","Excel"
"From Dept","From Dept"
"From","From"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Location","Location"
"No","No"
"None","None"
"Occurrent Date","Occurrent Date"
"Please select safety data to delete.","Please select safety data to delete."
"Please select safety data.","Please select safety data."
"Ref Id","Ref Id"
"Reference No","Reference No"
"Region","Region"
"Reject Reason","Reject Reason"
"Related Personel","Related Personel"
"Remark","Remark"
"Reset","Reset"
"Safety Data was saved","Safety Data was saved"
"Safety Data was successfully deleted.","Safety Data was successfully deleted."
"Safety Data was successfully saved","Safety Data was successfully saved"
"Safety Data","Safety Data"
"Save And Continue Edit","Save And Continue Edit"
"Save Safety Data","Save Safety Data"
"Section","Section"
"Status","Status"
"Store views","Store views"
"Subtask","Subtask"
"Task Group","Task Group"
"Task Id","Task Id"
"The safety data has been deleted.","The safety data has been deleted."
"There was a problem saving the safety data.","There was a problem saving the safety data."
"There was an error deleting safety data.","There was an error deleting safety data."
"There was an error updating safety data.","There was an error updating safety data."
"This safety data no longer exists.","This safety data no longer exists."
"To Dept","To Dept"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d safety data were successfully deleted.","Total of %d safety data were successfully deleted."
"Total of %d safety data were successfully updated.","Total of %d safety data were successfully updated."
"Type","Type"
"Unable to find safety data to save.","Unable to find safety data to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"