"",""
"Action","Action"
"Add Schedule","Add Schedule"
"An error occurred while updating the schedule.","An error occurred while updating the schedule."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find schedule to delete.","Could not find schedule to delete."
"Created at","Created at"
"Delete Schedule","Delete Schedule"
"Delete","Delete"
"Disabled","Disabled"
"Edit Schedule '%s'","Edit Schedule '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving schedule","Error saving schedule"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select schedule to delete.","Please select schedule to delete."
"Please select schedule.","Please select schedule."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Schedule","Save Schedule"
"Schedule was saved","Schedule was saved"
"Schedule was successfully deleted.","Schedule was successfully deleted."
"Schedule was successfully saved","Schedule was successfully saved"
"Schedule","Schedule"
"Status","Status"
"Store views","Store views"
"The schedule has been deleted.","The schedule has been deleted."
"There was a problem saving the schedule.","There was a problem saving the schedule."
"There was an error deleting schedule.","There was an error deleting schedule."
"There was an error updating schedule.","There was an error updating schedule."
"This schedule no longer exists.","This schedule no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d schedule were successfully deleted.","Total of %d schedule were successfully deleted."
"Total of %d schedule were successfully updated.","Total of %d schedule were successfully updated."
"Unable to find schedule to save.","Unable to find schedule to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"