"",""
"Action","Action"
"Add Field Dependance","Add Field Dependance"
"An error occurred while updating the field dependance.","An error occurred while updating the field dependance."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find field dependance to delete.","Could not find field dependance to delete."
"Created at","Created at"
"Delete Field Dependance","Delete Field Dependance"
"Delete","Delete"
"Dependences Definition","Dependences Definition"
"Disabled","Disabled"
"Edit Field Dependance '%s'","Edit Field Dependance '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving field dependance","Error saving field dependance"
"Excel","Excel"
"Field Dependance was saved","Field Dependance was saved"
"Field Dependance was successfully deleted.","Field Dependance was successfully deleted."
"Field Dependance was successfully saved","Field Dependance was successfully saved"
"Field Dependance","Field Dependance"
"Field Name Suffix","Field Name Suffix"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select field dependance to delete.","Please select field dependance to delete."
"Please select field dependance.","Please select field dependance."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Field Dependance","Save Field Dependance"
"Status","Status"
"Store views","Store views"
"The field dependance has been deleted.","The field dependance has been deleted."
"There was a problem saving the field dependance.","There was a problem saving the field dependance."
"There was an error deleting field dependance.","There was an error deleting field dependance."
"There was an error updating field dependance.","There was an error updating field dependance."
"This field dependance no longer exists.","This field dependance no longer exists."
"Total of %d field dependance were successfully deleted.","Total of %d field dependance were successfully deleted."
"Total of %d field dependance were successfully updated.","Total of %d field dependance were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find field dependance to save.","Unable to find field dependance to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"