"",""
"Action","Action"
"Add Signature","Add Signature"
"An error occurred while updating the signature.","An error occurred while updating the signature."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find signature to delete.","Could not find signature to delete."
"Created at","Created at"
"Date","Date"
"Delete File","Delete File"
"Delete Signature","Delete Signature"
"Delete","Delete"
"Disabled","Disabled"
"Edit Signature '%s'","Edit Signature '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving signature","Error saving signature"
"Excel","Excel"
"Home","Home"
"Id","Id"
"JPG,PNG,GIF extensions.","JPG,PNG,GIF extensions."
"Name","Name"
"No","No"
"None","None"
"Please select signature to delete.","Please select signature to delete."
"Please select signature.","Please select signature."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Signature","Save Signature"
"Signature was saved","Signature was saved"
"Signature was successfully deleted.","Signature was successfully deleted."
"Signature was successfully saved","Signature was successfully saved"
"Signature","Signature"
"Status","Status"
"Store views","Store views"
"The signature has been deleted.","The signature has been deleted."
"There was a problem saving the signature.","There was a problem saving the signature."
"There was an error deleting signature.","There was an error deleting signature."
"There was an error updating signature.","There was an error updating signature."
"This signature no longer exists.","This signature no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d signature were successfully deleted.","Total of %d signature were successfully deleted."
"Total of %d signature were successfully updated.","Total of %d signature were successfully updated."
"Unable to find signature to save.","Unable to find signature to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"