"",""
"A/C Reg","A/C Reg"
"Action","Action"
"Add Sign-off","Add Sign-off"
"An error occurred while updating the sign-offs.","An error occurred while updating the sign-offs."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Investigation","Change Investigation"
"Change NCR","Change NCR"
"Change QR/QN","Change QR/QN"
"Change status","Change status"
"Could not find sign-off to delete.","Could not find sign-off to delete."
"Created at","Created at"
"Date of Inspection","Date of Inspection"
"Delete Sign-off","Delete Sign-off"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Sign-off '%s'","Edit Sign-off '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving sign-off","Error saving sign-off"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Investigation","Investigation"
"Location","Location"
"Maintenance Center","Maintenance Center"
"NCR","NCR"
"No","No"
"None","None"
"Please select sign-offs to delete.","Please select sign-offs to delete."
"Please select sign-offs.","Please select sign-offs."
"QR/QN","QR/QN"
"Reference No","Reference No"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Sign-off","Save Sign-off"
"Sign-off was saved","Sign-off was saved"
"Sign-off was successfully deleted.","Sign-off was successfully deleted."
"Sign-off was successfully saved","Sign-off was successfully saved"
"Sign-off","Sign-off"
"Sign-offs","Sign-offs"
"Status","Status"
"Store views","Store views"
"Task ID","Task ID"
"The sign-offs has been deleted.","The sign-offs has been deleted."
"There was a problem saving the sign-off.","There was a problem saving the sign-off."
"There was an error deleting sign-off.","There was an error deleting sign-off."
"There was an error deleting sign-offs.","There was an error deleting sign-offs."
"There was an error updating sign-offs.","There was an error updating sign-offs."
"This sign-off no longer exists.","This sign-off no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d sign-offs were successfully deleted.","Total of %d sign-offs were successfully deleted."
"Total of %d sign-offs were successfully updated.","Total of %d sign-offs were successfully updated."
"Unable to find sign-off to save.","Unable to find sign-off to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Workpack","Workpack"
"XML","XML"
"Yes","Yes"