"",""
"Action","Action"
"Add Supplier","Add Supplier"
"An error occurred while updating the suppliers.","An error occurred while updating the suppliers."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Cert No","Cert No"
"Change status","Change status"
"Class","Class"
"Could not find supplier to delete.","Could not find supplier to delete."
"Created at","Created at"
"Delete File","Delete File"
"Delete Supplier","Delete Supplier"
"Delete","Delete"
"Disabled","Disabled"
"Edit Supplier '%s'","Edit Supplier '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving supplier","Error saving supplier"
"Excel","Excel"
"Expire Date","Expire Date"
"Home","Home"
"ID","ID"
"Id","Id"
"Inspector","Inspector"
"Issue Date","Issue Date"
"No","No"
"None","None"
"Please select suppliers to delete.","Please select suppliers to delete."
"Please select suppliers.","Please select suppliers."
"Rating","Rating"
"Region","Region"
"Remaining","Remaining"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Supplier","Save Supplier"
"Section","Section"
"Source","Source"
"Status","Status"
"Store views","Store views"
"Supplier Name","Supplier Name"
"Supplier was saved","Supplier was saved"
"Supplier was successfully deleted.","Supplier was successfully deleted."
"Supplier was successfully saved","Supplier was successfully saved"
"Supplier","Supplier"
"Suppliers","Suppliers"
"The suppliers has been deleted.","The suppliers has been deleted."
"There was a problem saving the supplier.","There was a problem saving the supplier."
"There was an error deleting supplier.","There was an error deleting supplier."
"There was an error deleting suppliers.","There was an error deleting suppliers."
"There was an error updating suppliers.","There was an error updating suppliers."
"This supplier no longer exists.","This supplier no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d suppliers were successfully deleted.","Total of %d suppliers were successfully deleted."
"Total of %d suppliers were successfully updated.","Total of %d suppliers were successfully updated."
"Unable to find supplier to save.","Unable to find supplier to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"