"",""
"A/C Reg","A/C Reg"
"AC Type","AC Type"
"Action","Action"
"Add Surveillance","Add Surveillance"
"An error occurred while updating the surveillances.","An error occurred while updating the surveillances."
"Are you sure?","Are you sure?"
"CAR","CAR"
"CSV","CSV"
"Change CAR","Change CAR"
"Change DRR","Change DRR"
"Change NCR","Change NCR"
"Change QN","Change QN"
"Change QR","Change QR"
"Change status","Change status"
"Check Type","Check Type"
"Could not find surveillance to delete.","Could not find surveillance to delete."
"Created at","Created at"
"Customer","Customer"
"DRR","DRR"
"Date of Inspection","Date of Inspection"
"Delete Surveillance","Delete Surveillance"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Surveillance '%s'","Edit Surveillance '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving surveillance","Error saving surveillance"
"Excel","Excel"
"Flight Number","Flight Number"
"Home","Home"
"IR","IR"
"Id","Id"
"Inspector","Inspector"
"Location","Location"
"Maintenance Center","Maintenance Center"
"NCR","NCR"
"No","No"
"None","None"
"Please select surveillances to delete.","Please select surveillances to delete."
"Please select surveillances.","Please select surveillances."
"QN","QN"
"QR","QR"
"Reference No","Reference No"
"Region","Region"
"Reset","Reset"
"Role","Role"
"Save And Continue Edit","Save And Continue Edit"
"Save Surveillance","Save Surveillance"
"Section","Section"
"Status","Status"
"Store views","Store views"
"Subtask","Subtask"
"Surveillance was saved","Surveillance was saved"
"Surveillance was successfully deleted.","Surveillance was successfully deleted."
"Surveillance was successfully saved","Surveillance was successfully saved"
"Surveillance","Surveillance"
"Surveillances","Surveillances"
"Task","Task"
"The surveillances has been deleted.","The surveillances has been deleted."
"There was a problem saving the surveillance.","There was a problem saving the surveillance."
"There was an error deleting surveillance.","There was an error deleting surveillance."
"There was an error deleting surveillances.","There was an error deleting surveillances."
"There was an error updating surveillances.","There was an error updating surveillances."
"This surveillance no longer exists.","This surveillance no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d surveillances were successfully deleted.","Total of %d surveillances were successfully deleted."
"Total of %d surveillances were successfully updated.","Total of %d surveillances were successfully updated."
"Unable to find surveillance to save.","Unable to find surveillance to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Work Pack","Work Pack"
"XML","XML"
"Yes","Yes"