"",""
"A/C Reg","A/C Reg"
"A/C Type","A/C Type"
"Action","Action"
"Add Base Surveillance","Add Base Surveillance"
"Add Line Surveillance","Add Line Surveillance"
"Aircraft Reg","Aircraft Reg"
"An error occurred while updating the base surveillances.","An error occurred while updating the base surveillances."
"An error occurred while updating the line surveillances.","An error occurred while updating the line surveillances."
"Are you sure?","Are you sure?"
"Base Surveillance was saved","Base Surveillance was saved"
"Base Surveillance was successfully deleted.","Base Surveillance was successfully deleted."
"Base Surveillance was successfully saved","Base Surveillance was successfully saved"
"Base Surveillance","Base Surveillance"
"Base Surveillances","Base Surveillances"
"CAR","CAR"
"CSV","CSV"
"Change CAR","Change CAR"
"Change NCR","Change NCR"
"Change QR/QN","Change QR/QN"
"Change status","Change status"
"Check Type","Check Type"
"Could not find base surveillance to delete.","Could not find base surveillance to delete."
"Could not find line surveillance to delete.","Could not find line surveillance to delete."
"Created at","Created at"
"Customer","Customer"
"Date of Inspection","Date of Inspection"
"Delete Base Surveillance","Delete Base Surveillance"
"Delete Line Surveillance","Delete Line Surveillance"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Base Surveillance '%s'","Edit Base Surveillance '%s'"
"Edit Line Surveillance '%s'","Edit Line Surveillance '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving base surveillance","Error saving base surveillance"
"Error saving line surveillance","Error saving line surveillance"
"Excel","Excel"
"Flight Number","Flight Number"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Line Surveillance was saved","Line Surveillance was saved"
"Line Surveillance was successfully deleted.","Line Surveillance was successfully deleted."
"Line Surveillance was successfully saved","Line Surveillance was successfully saved"
"Line Surveillance","Line Surveillance"
"Line Surveillances","Line Surveillances"
"Location","Location"
"Maintenance Center","Maintenance Center"
"NCR","NCR"
"No","No"
"None","None"
"Please select base surveillances to delete.","Please select base surveillances to delete."
"Please select base surveillances.","Please select base surveillances."
"Please select line surveillances to delete.","Please select line surveillances to delete."
"Please select line surveillances.","Please select line surveillances."
"QR/QN","QR/QN"
"Reference No","Reference No"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Base Surveillance","Save Base Surveillance"
"Save Line Surveillance","Save Line Surveillance"
"Status","Status"
"Store views","Store views"
"The base surveillances has been deleted.","The base surveillances has been deleted."
"The line surveillances has been deleted.","The line surveillances has been deleted."
"There was a problem saving the base surveillance.","There was a problem saving the base surveillance."
"There was a problem saving the line surveillance.","There was a problem saving the line surveillance."
"There was an error deleting base surveillance.","There was an error deleting base surveillance."
"There was an error deleting base surveillances.","There was an error deleting base surveillances."
"There was an error deleting line surveillance.","There was an error deleting line surveillance."
"There was an error deleting line surveillances.","There was an error deleting line surveillances."
"There was an error updating base surveillances.","There was an error updating base surveillances."
"There was an error updating line surveillances.","There was an error updating line surveillances."
"This base surveillance no longer exists.","This base surveillance no longer exists."
"This line surveillance no longer exists.","This line surveillance no longer exists."
"Total of %d base surveillances were successfully deleted.","Total of %d base surveillances were successfully deleted."
"Total of %d base surveillances were successfully updated.","Total of %d base surveillances were successfully updated."
"Total of %d line surveillances were successfully deleted.","Total of %d line surveillances were successfully deleted."
"Total of %d line surveillances were successfully updated.","Total of %d line surveillances were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find base surveillance to save.","Unable to find base surveillance to save."
"Unable to find line surveillance to save.","Unable to find line surveillance to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Work Pack","Work Pack"
"XML","XML"
"Yes","Yes"