"",""
"Action","Action"
"Add Tool Supplier","Add Tool Supplier"
"Address","Address"
"Amasis Code Class","Amasis Code Class"
"An error occurred while updating the tool suppliers.","An error occurred while updating the tool suppliers."
"Approved Scope","Approved Scope"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find tool supplier to delete.","Could not find tool supplier to delete."
"Created at","Created at"
"Delete File","Delete File"
"Delete Tool Supplier","Delete Tool Supplier"
"Delete","Delete"
"Disabled","Disabled"
"Edit Tool Supplier '%s'","Edit Tool Supplier '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving tool supplier","Error saving tool supplier"
"Excel","Excel"
"Expire Date","Expire Date"
"Home","Home"
"Id","Id"
"Inspector","Inspector"
"Issue Date","Issue Date"
"No","No"
"None","None"
"Organization","Organization"
"Please select tool suppliers to delete.","Please select tool suppliers to delete."
"Please select tool suppliers.","Please select tool suppliers."
"Region","Region"
"Remaining","Remaining"
"Remark","Remark"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Tool Supplier","Save Tool Supplier"
"Section","Section"
"Source","Source"
"Status","Status"
"Store views","Store views"
"The tool suppliers has been deleted.","The tool suppliers has been deleted."
"There was a problem saving the tool supplier.","There was a problem saving the tool supplier."
"There was an error deleting tool supplier.","There was an error deleting tool supplier."
"There was an error deleting tool suppliers.","There was an error deleting tool suppliers."
"There was an error updating tool suppliers.","There was an error updating tool suppliers."
"This tool supplier no longer exists.","This tool supplier no longer exists."
"Tool Supplier was saved","Tool Supplier was saved"
"Tool Supplier was successfully deleted.","Tool Supplier was successfully deleted."
"Tool Supplier was successfully saved","Tool Supplier was successfully saved"
"Tool Supplier","Tool Supplier"
"Tool Suppliers","Tool Suppliers"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d tool suppliers were successfully deleted.","Total of %d tool suppliers were successfully deleted."
"Total of %d tool suppliers were successfully updated.","Total of %d tool suppliers were successfully updated."
"Unable to find tool supplier to save.","Unable to find tool supplier to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"